hypervectorSize, inputQuant, classVectorQuant, imageSize, retrainIteration, nCorrect
4000, 32, 8, 28, 6, 8981
4000, 32, 8, 28, 7, 9012
4000, 32, 8, 28, 8, 9074
4000, 32, 8, 28, 9, 9059
4000, 32, 8, 28, 10, 9077
4000, 64, 8, 28, 1, 8252
4000, 64, 8, 28, 2, 8662
4000, 64, 8, 28, 3, 8799
4000, 64, 8, 28, 4, 8890
4000, 64, 8, 28, 5, 8966
4000, 64, 8, 28, 6, 9020
4000, 64, 8, 28, 7, 9073
4000, 64, 8, 28, 8, 9103
4000, 64, 8, 28, 9, 9134
4000, 64, 8, 28, 10, 9157
6000, 2, 2, 28, 1, 7991
6000, 2, 2, 28, 2, 8396
6000, 2, 2, 28, 3, 8502
6000, 2, 2, 28, 4, 8537
6000, 2, 2, 28, 5, 8443
6000, 2, 2, 28, 6, 8150
6000, 4, 2, 28, 1, 8195
6000, 4, 2, 28, 2, 8580
6000, 4, 2, 28, 3, 8700
6000, 4, 2, 28, 4, 8799
6000, 4, 2, 28, 5, 8839
6000, 4, 2, 28, 6, 8872
6000, 4, 2, 28, 7, 8837
6000, 4, 2, 28, 8, 8640
6000, 8, 2, 28, 1, 8206
6000, 8, 2, 28, 2, 8594
6000, 8, 2, 28, 3, 8735
6000, 8, 2, 28, 4, 8814
6000, 8, 2, 28, 5, 8888
6000, 8, 2, 28, 6, 8950
6000, 8, 2, 28, 7, 8984
6000, 8, 2, 28, 8, 8937
6000, 8, 2, 28, 9, 8731
6000, 16, 2, 28, 1, 8235
6000, 16, 2, 28, 2, 8612
6000, 16, 2, 28, 3, 8764
6000, 16, 2, 28, 4, 8872
6000, 16, 2, 28, 5, 8915
6000, 16, 2, 28, 6, 8948
6000, 16, 2, 28, 7, 8994
6000, 16, 2, 28, 8, 8992
6000, 16, 2, 28, 9, 9047
6000, 16, 2, 28, 10, 9004
6000, 32, 2, 28, 1, 8228
6000, 32, 2, 28, 2, 8643
6000, 32, 2, 28, 3, 8804
6000, 32, 2, 28, 4, 8877
6000, 32, 2, 28, 5, 8931
6000, 32, 2, 28, 6, 8969
6000, 32, 2, 28, 7, 9006
6000, 32, 2, 28, 8, 9049
6000, 32, 2, 28, 9, 9073
6000, 32, 2, 28, 10, 9101
6000, 64, 2, 28, 1, 8250
6000, 64, 2, 28, 2, 8627
6000, 64, 2, 28, 3, 8786
6000, 64, 2, 28, 4, 8861
6000, 64, 2, 28, 5, 8920
6000, 64, 2, 28, 6, 8987
6000, 64, 2, 28, 7, 9046
6000, 64, 2, 28, 8, 9061
6000, 64, 2, 28, 9, 9120
6000, 64, 2, 28, 10, 9120
6000, 2, 4, 28, 1, 8023
6000, 2, 4, 28, 2, 8404
6000, 2, 4, 28, 3, 8489
6000, 2, 4, 28, 4, 8443
6000, 2, 4, 28, 5, 8268
6000, 4, 4, 28, 1, 8179
6000, 4, 4, 28, 2, 8586
6000, 4, 4, 28, 3, 8749
6000, 4, 4, 28, 4, 8830
6000, 4, 4, 28, 5, 8907
6000, 4, 4, 28, 6, 8959
6000, 4, 4, 28, 7, 8960
6000, 4, 4, 28, 8, 8864
6000, 4, 4, 28, 9, 8558
6000, 8, 4, 28, 1, 8283
6000, 8, 4, 28, 2, 8675
6000, 8, 4, 28, 3, 8784
6000, 8, 4, 28, 4, 8887
6000, 8, 4, 28, 5, 8918
6000, 8, 4, 28, 6, 9003
6000, 8, 4, 28, 7, 9019
6000, 8, 4, 28, 8, 9027
6000, 8, 4, 28, 9, 9081
6000, 8, 4, 28, 10, 9069
6000, 16, 4, 28, 1, 8277
6000, 16, 4, 28, 2, 8673
6000, 16, 4, 28, 3, 8802
6000, 16, 4, 28, 4, 8903
6000, 16, 4, 28, 5, 8968
6000, 16, 4, 28, 6, 9010
6000, 16, 4, 28, 7, 9035
6000, 16, 4, 28, 8, 9101
6000, 16, 4, 28, 9, 9089
6000, 16, 4, 28, 10, 9157
6000, 32, 4, 28, 1, 8268
6000, 32, 4, 28, 2, 8644
6000, 32, 4, 28, 3, 8784
6000, 32, 4, 28, 4, 8875
6000, 32, 4, 28, 5, 8966
6000, 32, 4, 28, 6, 8996
6000, 32, 4, 28, 7, 9059
6000, 32, 4, 28, 8, 9074
6000, 32, 4, 28, 9, 9126
6000, 32, 4, 28, 10, 9133
6000, 64, 4, 28, 1, 8290
6000, 64, 4, 28, 2, 8695
6000, 64, 4, 28, 3, 8808
6000, 64, 4, 28, 4, 8922
6000, 64, 4, 28, 5, 8965
6000, 64, 4, 28, 6, 9015
6000, 64, 4, 28, 7, 9049
6000, 64, 4, 28, 8, 9082
6000, 64, 4, 28, 9, 9114
6000, 64, 4, 28, 10, 9140
6000, 2, 8, 28, 1, 8154
6000, 2, 8, 28, 2, 8511
6000, 2, 8, 28, 3, 8626
6000, 2, 8, 28, 4, 8719
6000, 2, 8, 28, 5, 8716
6000, 2, 8, 28, 6, 8552
6000, 4, 8, 28, 1, 8226
6000, 4, 8, 28, 2, 8614
6000, 4, 8, 28, 3, 8743
6000, 4, 8, 28, 4, 8838
6000, 4, 8, 28, 5, 8881
6000, 4, 8, 28, 6, 8883
6000, 4, 8, 28, 7, 8875
6000, 4, 8, 28, 8, 8786
6000, 4, 8, 28, 9, 8650
6000, 8, 8, 28, 1, 8215
6000, 8, 8, 28, 2, 8632
6000, 8, 8, 28, 3, 8771
6000, 8, 8, 28, 4, 8855
6000, 8, 8, 28, 5, 8946
6000, 8, 8, 28, 6, 9006
6000, 8, 8, 28, 7, 9034
6000, 8, 8, 28, 8, 9082
6000, 8, 8, 28, 9, 9128
6000, 8, 8, 28, 10, 9080
6000, 16, 8, 28, 1, 8262
6000, 16, 8, 28, 2, 8666
6000, 16, 8, 28, 3, 8793
6000, 16, 8, 28, 4, 8921
6000, 16, 8, 28, 5, 8962
6000, 16, 8, 28, 6, 9004
6000, 16, 8, 28, 7, 9066
6000, 16, 8, 28, 8, 9093
6000, 16, 8, 28, 9, 9110
6000, 16, 8, 28, 10, 9138
6000, 32, 8, 28, 1, 8267
6000, 32, 8, 28, 2, 8664
6000, 32, 8, 28, 3, 8790
6000, 32, 8, 28, 4, 8924
6000, 32, 8, 28, 5, 8991
6000, 32, 8, 28, 6, 9034
6000, 32, 8, 28, 7, 9076
6000, 32, 8, 28, 8, 9103
6000, 32, 8, 28, 9, 9126
6000, 32, 8, 28, 10, 9158
6000, 64, 8, 28, 1, 8273
6000, 64, 8, 28, 2, 8704
6000, 64, 8, 28, 3, 8841
6000, 64, 8, 28, 4, 8926
6000, 64, 8, 28, 5, 8987
6000, 64, 8, 28, 6, 9032
6000, 64, 8, 28, 7, 9068
6000, 64, 8, 28, 8, 9097
6000, 64, 8, 28, 9, 9150
6000, 64, 8, 28, 10, 9164
8000, 2, 2, 28, 1, 8042
8000, 2, 2, 28, 2, 8448
8000, 2, 2, 28, 3, 8553
8000, 2, 2, 28, 4, 8635
8000, 2, 2, 28, 5, 8603
