hypervectorSize, inputQuant, classVectorQuant, trainIteration, numCorrect
4000, 2, 4, 19, 1402
4000, 2, 4, 20, 1401
4000, 4, 4, 1, 1335
4000, 4, 4, 2, 1350
4000, 4, 4, 3, 1336
4000, 4, 4, 4, 1376
4000, 4, 4, 5, 1398
4000, 4, 4, 6, 1426
4000, 4, 4, 7, 1428
4000, 4, 4, 8, 1432
4000, 4, 4, 9, 1429
4000, 4, 4, 10, 1430
4000, 4, 4, 11, 1431
4000, 4, 4, 12, 1429
4000, 4, 4, 13, 1426
4000, 4, 4, 14, 1431
4000, 4, 4, 15, 1431
4000, 4, 4, 16, 1429
4000, 4, 4, 17, 1430
4000, 4, 4, 18, 1431
4000, 4, 4, 19, 1426
4000, 4, 4, 20, 1423
4000, 8, 4, 1, 1351
4000, 8, 4, 2, 1380
4000, 8, 4, 3, 1390
4000, 8, 4, 4, 1394
4000, 8, 4, 5, 1413
4000, 8, 4, 6, 1428
4000, 8, 4, 7, 1433
4000, 8, 4, 8, 1435
4000, 8, 4, 9, 1433
4000, 8, 4, 10, 1437
4000, 8, 4, 11, 1436
4000, 8, 4, 12, 1435
4000, 8, 4, 13, 1436
4000, 8, 4, 14, 1433
4000, 8, 4, 15, 1434
4000, 8, 4, 16, 1433
4000, 8, 4, 17, 1436
4000, 8, 4, 18, 1442
4000, 8, 4, 19, 1439
4000, 8, 4, 20, 1437
4000, 16, 4, 1, 1359
4000, 16, 4, 2, 1398
4000, 16, 4, 3, 1410
4000, 16, 4, 4, 1425
4000, 16, 4, 5, 1438
4000, 16, 4, 6, 1444
4000, 16, 4, 7, 1444
4000, 16, 4, 8, 1442
4000, 16, 4, 9, 1442
4000, 16, 4, 10, 1442
4000, 16, 4, 11, 1441
4000, 16, 4, 12, 1442
4000, 16, 4, 13, 1441
4000, 16, 4, 14, 1443
4000, 16, 4, 15, 1440
4000, 16, 4, 16, 1439
4000, 16, 4, 17, 1439
4000, 16, 4, 18, 1438
4000, 16, 4, 19, 1442
4000, 16, 4, 20, 1442
4000, 32, 4, 1, 1350
4000, 32, 4, 2, 1373
4000, 32, 4, 3, 1375
4000, 32, 4, 4, 1391
4000, 32, 4, 5, 1423
4000, 32, 4, 6, 1443
4000, 32, 4, 7, 1448
4000, 32, 4, 8, 1445
4000, 32, 4, 9, 1443
4000, 32, 4, 10, 1444
4000, 32, 4, 11, 1442
4000, 32, 4, 12, 1444
4000, 32, 4, 13, 1439
4000, 32, 4, 14, 1441
4000, 32, 4, 15, 1441
4000, 32, 4, 16, 1439
4000, 32, 4, 17, 1441
4000, 32, 4, 18, 1438
4000, 32, 4, 19, 1435
4000, 32, 4, 20, 1436
4000, 64, 4, 1, 1348
4000, 64, 4, 2, 1382
4000, 64, 4, 3, 1402
4000, 64, 4, 4, 1417
4000, 64, 4, 5, 1427
4000, 64, 4, 6, 1428
4000, 64, 4, 7, 1427
4000, 64, 4, 8, 1431
4000, 64, 4, 9, 1425
4000, 64, 4, 10, 1427
4000, 64, 4, 11, 1427
4000, 64, 4, 12, 1427
4000, 64, 4, 13, 1430
4000, 64, 4, 14, 1426
4000, 64, 4, 15, 1427
4000, 64, 4, 16, 1428
4000, 64, 4, 17, 1429
4000, 64, 4, 18, 1428
4000, 64, 4, 19, 1428
4000, 64, 4, 20, 1427
4000, 2, 8, 1, 1328
4000, 2, 8, 2, 1324
4000, 2, 8, 3, 1348
4000, 2, 8, 4, 1372
4000, 2, 8, 5, 1374
4000, 2, 8, 6, 1390
4000, 2, 8, 7, 1398
4000, 2, 8, 8, 1424
4000, 2, 8, 9, 1425
4000, 2, 8, 10, 1431
4000, 2, 8, 11, 1427
4000, 2, 8, 12, 1427
4000, 2, 8, 13, 1426
4000, 2, 8, 14, 1421
4000, 2, 8, 15, 1423
4000, 2, 8, 16, 1423
4000, 2, 8, 17, 1422
4000, 2, 8, 18, 1421
4000, 2, 8, 19, 1426
4000, 2, 8, 20, 1426
4000, 4, 8, 1, 1357
4000, 4, 8, 2, 1387
4000, 4, 8, 3, 1382
4000, 4, 8, 4, 1411
4000, 4, 8, 5, 1411
4000, 4, 8, 6, 1425
4000, 4, 8, 7, 1427
4000, 4, 8, 8, 1426
4000, 4, 8, 9, 1426
4000, 4, 8, 10, 1422
4000, 4, 8, 11, 1426
4000, 4, 8, 12, 1425
4000, 4, 8, 13, 1424
4000, 4, 8, 14, 1423
4000, 4, 8, 15, 1424
4000, 4, 8, 16, 1423
4000, 4, 8, 17, 1424
4000, 4, 8, 18, 1424
4000, 4, 8, 19, 1424
4000, 4, 8, 20, 1424
4000, 8, 8, 1, 1359
4000, 8, 8, 2, 1385
4000, 8, 8, 3, 1379
4000, 8, 8, 4, 1395
4000, 8, 8, 5, 1417
4000, 8, 8, 6, 1433
4000, 8, 8, 7, 1431
4000, 8, 8, 8, 1438
4000, 8, 8, 9, 1435
4000, 8, 8, 10, 1427
4000, 8, 8, 11, 1426
4000, 8, 8, 12, 1424
4000, 8, 8, 13, 1425
4000, 8, 8, 14, 1428
4000, 8, 8, 15, 1427
